First Name,Last Name,Image,School,Source
Steve,Reise,N/A,UCLA,https://scholar.google.com/citations?hl=en&user=FDv7ZYAAAAAJ
song-chun,zhu,N/A,UCLA,https://scholar.google.com/citations?hl=en&user=Al8dyb4AAAAJ
An,Yin,N/A,UCLA,https://scholar.google.com/citations?hl=en&user=BL8f0VsAAAAJ
George,Varghese,N/A,UCLA,https://scholar.google.com/citations?hl=en&user=rnR3JrYAAAAJ
Stephen G.,Young,N/A,UCLA,https://scholar.google.com/citations?hl=en&user=ZweaJTMAAAAJ
Sander,Greenland,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCLA,https://scholar.google.com/citations?hl=en&user=HcvPl18AAAAJ
Wei,Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UedS9LQAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=UedS9LQAAAAJ
Edward L.,Wright,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0rlyyTwAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=0rlyyTwAAAAJ
Kendall N.,Houk,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCLA,https://scholar.google.com/citations?hl=en&user=zgj0Fm8AAAAJ
Beate R,Ritz,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCLA,https://scholar.google.com/citations?hl=en&user=y-qehhIAAAAJ
Ron D.,Hays,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=M_UF6MgAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=M_UF6MgAAAAJ
David S.,Eisenberg,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DLXzRi8AAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=DLXzRi8AAAAJ
Michael,Phelps,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCLA,https://scholar.google.com/citations?hl=en&user=7duynOgAAAAJ
Charles,Plager,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1rzs-RAAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=1rzs-RAAAAAJ
Steve,Horvath,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=mEM8q5cAAAAJ&citpid=4,UCLA,https://scholar.google.com/citations?hl=en&user=mEM8q5cAAAAJ
Teresa,Seeman,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCLA,https://scholar.google.com/citations?hl=en&user=q8-lUkgAAAAJ
Tomas,Ganz,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qpIfQNcAAAAJ&citpid=7,UCLA,https://scholar.google.com/citations?hl=en&user=qpIfQNcAAAAJ
Marc A.,Suchard,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vF2UV4MAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=vF2UV4MAAAAJ
Wei,Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=08CVzE8AAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=08CVzE8AAAAJ
Simon,Regnard,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCLA,https://scholar.google.com/citations?hl=en&user=1pVEVf4AAAAJ
Xiangfeng,Duan,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCLA,https://scholar.google.com/citations?hl=en&user=rw_uaoQAAAAJ
Bernard,Weiner,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hbwK99YAAAAJ&citpid=5,UCLA,https://scholar.google.com/citations?hl=en&user=hbwK99YAAAAJ
Katsushi,Arisaka,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NWKOsDQAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=NWKOsDQAAAAJ
Richard,Kaner,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=95uwL0cAAAAJ&citpid=3,UCLA,https://scholar.google.com/citations?hl=en&user=95uwL0cAAAAJ
Lieven,Vandenberghe,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WLptLzgAAAAJ&citpid=3,UCLA,https://scholar.google.com/citations?hl=en&user=WLptLzgAAAAJ
Terence,Tao,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCLA,https://scholar.google.com/citations?hl=en&user=TFx_gLQAAAAJ
Patricia A.,Ganz,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=EWd7dyUAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=EWd7dyUAAAAJ
BRUCE S,DUNN,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=EbwiqDkAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=EbwiqDkAAAAJ
Harold,Demsetz,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ZVUFe_UAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=ZVUFe_UAAAAJ
Harry V.,Vinters,https://scholar.google.com/citations/images/avatar_scholar_128.png,UCLA,https://scholar.google.com/citations?hl=en&user=Fa_PDB0AAAAJ
Roel A.,Ophoff,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Od-MfB0AAAAJ&citpid=16,UCLA,https://scholar.google.com/citations?hl=en&user=Od-MfB0AAAAJ
